Player,Player_ID,Player_NFL_Link,Player_NCAA_Link
Dewayne Washington,WashDe20,http://www.pro-football-reference.com/players/W/WashDe20.htm,
Todd Steussie,SteuTo00,http://www.pro-football-reference.com/players/S/SteuTo00.htm,
Tim Bowens,BoweTi00,http://www.pro-football-reference.com/players/B/BoweTi00.htm,
Johnnie Morton,MortJo00,http://www.pro-football-reference.com/players/M/MortJo00.htm,http://www.sports-reference.com/cfb/players/johnnie-morton-1.html
Rob Fredrickson,FredRo20,http://www.pro-football-reference.com/players/F/FredRo20.htm,
Shante Carver,CarvSh20,http://www.pro-football-reference.com/players/C/CarvSh20.htm,
Thomas Lewis,LewiTh00,http://www.pro-football-reference.com/players/L/LewiTh00.htm,http://www.sports-reference.com/cfb/players/thomas-lewis-1.html
Greg Hill,HillGr00,http://www.pro-football-reference.com/players/H/HillGr00.htm,http://www.sports-reference.com/cfb/players/greg-hill-4.html
Henry Ford,FordHe21,http://www.pro-football-reference.com/players/F/FordHe21.htm,
Jeff Burris,BurrJe20,http://www.pro-football-reference.com/players/B/BurrJe20.htm,http://www.sports-reference.com/cfb/players/jeff-burris-1.html
